file_name, batch, string, note
00_stream.mp3,b1, You see a stream… Is the stream warm or cold?,
02_road.mp3,b1, You see a road… Is the road straight or curved?,
03_forest.mp3,b1,You see a forest... Is the forest living or dead?,
05_candle.mp3,b1, A candle is made of brass or wax?,
verygood.mp3,b2, Very good!
06_elephant.mp3,b2,If I say Elephant... you think of ...?,
07_tidal.mp3,b2, Tidal,
08_carpentry.mp3,b2, Carpentry,
09_growth.mp3,b2,Growth,
10_bread.mp3,b2,Bread,
11_web.mp3,b2,Web,
12_darkness.mp3,b2,Darkness,
13_protest.mp3,b2,Protest,
14_berries.mp3,b2, There are no more berries,
15_fall.mp3,b2,The Fall,
16_whatbringsyouin.mp3,b3,And what brings you in today?,
17_show.mp3,b3,If I show you this... how does that make you feel?,emotion_montage_joy.mp4
17_feel.mp3,b3, And how does that make you feel?,emotion_montage_desire.mp4
18_Wind_shadow.mp3,b3,I am the wind... you are the shadow., nothing
19_howdoyoufeel.mp3,b3,How do you feel?,emotion_montage_depression.mp4
20_mine.mp3,b3,I am not mine…, nothing
21_yours.mp3,b3,You are not yours., nothing
22_feel.mp3,b3, How does that make you feel?,emotion_montage_anger.mp4,
24_feel.mp3,b3, How does that make you feel?,emotion_montage_disgust.mp4,
25_assess.mp3,b3, Assess..., nothing
25_assess-reject.mp3,b3, Assess... Accept., nothing

